registrationNumber,plateNumber,model,color,status,provinceCode,provinceName,districtCode,districtName,stationCode,stationName,driverName,driverLicenseNumber,deviceSerialNumber,deviceStatus
REG-2026-000137,NWP-CAB-5137,Piaggio Ape,Black,ACTIVE,NWP,North Western Province,KUR,Kurunegala,KURP,Kurunegala Police Station,Tharindu Mendis,B7000136,SIM-TD-137,ACTIVE
REG-2026-000138,NWP-CAB-5138,TVS King,Red,ACTIVE,NWP,North Western Province,PUT,Puttalam,PUTP,Puttalam Police Station,Niroshan Mendis,B7000137,SIM-TD-138,ACTIVE
REG-2026-000139,NCP-CAB-5139,Bajaj RE,Yellow,ACTIVE,NCP,North Central Province,ANU,Anuradhapura,ANUP,Anuradhapura Police Station,Ashan Mendis,B7000138,SIM-TD-139,ACTIVE
REG-2026-000140,NCP-CAB-5140,Piaggio Ape,Black,ACTIVE,NCP,North Central Province,POL,Polonnaruwa,POLP,Polonnaruwa Police Station,Chamath Mendis,B7000139,SIM-TD-140,ACTIVE
REG-2026-000141,UVA-CAB-5141,TVS King,Red,ACTIVE,UVA,Uva Province,BAD,Badulla,BADP,Badulla Police Station,Lahiru Mendis,B7000140,SIM-TD-141,ACTIVE
REG-2026-000142,UVA-CAB-5142,Bajaj RE,Yellow,ACTIVE,UVA,Uva Province,MON,Monaragala,MONP,Monaragala Police Station,Udesh Mendis,B7000141,SIM-TD-142,ACTIVE
REG-2026-000143,SAB-CAB-5143,Piaggio Ape,White,ACTIVE,SAB,Sabaragamuwa Province,RAT,Ratnapura,RATP,Ratnapura Police Station,Roshan Mendis,B7000142,SIM-TD-143,ACTIVE
REG-2026-000144,SAB-CAB-5144,TVS King,Silver,ACTIVE,SAB,Sabaragamuwa Province,KEG,Kegalle,KEGP,Kegalle Police Station,Sampath Mendis,B7000143,SIM-TD-144,ACTIVE
REG-2026-000145,WP-CAB-5145,Bajaj RE,Red,ACTIVE,WP,Western Province,COL,Colombo,FORT,Fort Police Station,Yomal Mendis,B7000144,SIM-TD-145,ACTIVE
REG-2026-000146,WP-CAB-5146,Piaggio Ape,Green,ACTIVE,WP,Western Province,COL,Colombo,PET,Pettah Police Station,Dilshan Mendis,B7000145,SIM-TD-146,ACTIVE
REG-2026-000147,WP-CAB-5147,TVS King,Yellow,ACTIVE,WP,Western Province,COL,Colombo,MNTL,Mount Lavinia Police Station,Hasitha Mendis,B7000146,SIM-TD-147,ACTIVE
REG-2026-000148,WP-CAB-5148,Bajaj RE,Black,ACTIVE,WP,Western Province,GAM,Gampaha,NEG,Negombo Police Station,Kushan Mendis,B7000147,SIM-TD-148,ACTIVE
REG-2026-000149,WP-CAB-5149,Piaggio Ape,Green,ACTIVE,WP,Western Province,GAM,Gampaha,KEL,Kelaniya Police Station,Madushan Mendis,B7000148,SIM-TD-149,ACTIVE
REG-2026-000150,WP-CAB-5150,TVS King,Yellow,ACTIVE,WP,Western Province,KAL,Kalutara,PAN,Panadura Police Station,Nadeera Mendis,B7000149,SIM-TD-150,ACTIVE
REG-2026-000151,CP-CAB-5151,Bajaj RE,Green,ACTIVE,CP,Central Province,KAN,Kandy,KDY,Kandy HQ Police Station,Kasun Dissanayake,B7000150,SIM-TD-151,ACTIVE
REG-2026-000152,CP-CAB-5152,Piaggio Ape,Red,ACTIVE,CP,Central Province,KAN,Kandy,PER,Peradeniya Police Station,Nimal Dissanayake,B7000151,SIM-TD-152,ACTIVE
REG-2026-000153,CP-CAB-5153,TVS King,Black,ACTIVE,CP,Central Province,NUW,Nuwara Eliya,NUWPS,Nuwara Eliya Police Station,Amila Dissanayake,B7000152,SIM-TD-153,ACTIVE
REG-2026-000154,SP-CAB-5154,Bajaj RE,White,ACTIVE,SP,Southern Province,GAL,Galle,GALP,Galle Police Station,Sajith Dissanayake,B7000153,SIM-TD-154,ACTIVE
REG-2026-000155,SP-CAB-5155,Piaggio Ape,Yellow,ACTIVE,SP,Southern Province,MATR,Matara,MATP,Matara Police Station,Pradeep Dissanayake,B7000154,SIM-TD-155,ACTIVE
REG-2026-000156,SP-CAB-5156,TVS King,Blue,ACTIVE,SP,Southern Province,HAM,Hambantota,HAMB,Hambantota Police Station,Hirusha Dissanayake,B7000155,SIM-TD-156,ACTIVE
REG-2026-000157,NP-CAB-5157,Bajaj RE,Silver,ACTIVE,NP,Northern Province,JAF,Jaffna,JAFP,Jaffna Police Station,Janaka Dissanayake,B7000156,SIM-TD-157,ACTIVE
REG-2026-000158,EP-CAB-5158,Piaggio Ape,Black,ACTIVE,EP,Eastern Province,TRI,Trincomalee,TRIP,Trincomalee Police Station,Rashan Dissanayake,B7000157,SIM-TD-158,ACTIVE
REG-2026-000159,EP-CAB-5159,TVS King,Red,ACTIVE,EP,Eastern Province,BAT,Batticaloa,BATP,Batticaloa Police Station,Dilan Dissanayake,B7000158,SIM-TD-159,ACTIVE
REG-2026-000160,EP-CAB-5160,Bajaj RE,Red,ACTIVE,EP,Eastern Province,AMP,Ampara,AMPP,Ampara Police Station,Mahesh Dissanayake,B7000159,SIM-TD-160,ACTIVE
REG-2026-000161,NWP-CAB-5161,Piaggio Ape,Silver,ACTIVE,NWP,North Western Province,KUR,Kurunegala,KURP,Kurunegala Police Station,Ravindu Dissanayake,B7000160,SIM-TD-161,ACTIVE
REG-2026-000162,NWP-CAB-5162,TVS King,Green,ACTIVE,NWP,North Western Province,PUT,Puttalam,PUTP,Puttalam Police Station,Tharindu Dissanayake,B7000161,SIM-TD-162,ACTIVE
REG-2026-000163,NCP-CAB-5163,Bajaj RE,White,ACTIVE,NCP,North Central Province,ANU,Anuradhapura,ANUP,Anuradhapura Police Station,Niroshan Dissanayake,B7000162,SIM-TD-163,ACTIVE
REG-2026-000164,NCP-CAB-5164,Piaggio Ape,Red,ACTIVE,NCP,North Central Province,POL,Polonnaruwa,POLP,Polonnaruwa Police Station,Ashan Dissanayake,B7000163,SIM-TD-164,ACTIVE
REG-2026-000165,UVA-CAB-5165,TVS King,Red,ACTIVE,UVA,Uva Province,BAD,Badulla,BADP,Badulla Police Station,Chamath Dissanayake,B7000164,SIM-TD-165,ACTIVE
REG-2026-000166,UVA-CAB-5166,Bajaj RE,Blue,ACTIVE,UVA,Uva Province,MON,Monaragala,MONP,Monaragala Police Station,Lahiru Dissanayake,B7000165,SIM-TD-166,ACTIVE
REG-2026-000167,SAB-CAB-5167,Piaggio Ape,Yellow,ACTIVE,SAB,Sabaragamuwa Province,RAT,Ratnapura,RATP,Ratnapura Police Station,Udesh Dissanayake,B7000166,SIM-TD-167,ACTIVE
REG-2026-000168,SAB-CAB-5168,TVS King,Red,ACTIVE,SAB,Sabaragamuwa Province,KEG,Kegalle,KEGP,Kegalle Police Station,Roshan Dissanayake,B7000167,SIM-TD-168,ACTIVE
REG-2026-000169,WP-CAB-5169,Bajaj RE,Green,ACTIVE,WP,Western Province,COL,Colombo,FORT,Fort Police Station,Sampath Dissanayake,B7000168,SIM-TD-169,ACTIVE
REG-2026-000170,WP-CAB-5170,Piaggio Ape,Yellow,ACTIVE,WP,Western Province,COL,Colombo,PET,Pettah Police Station,Yomal Dissanayake,B7000169,SIM-TD-170,ACTIVE
REG-2026-000171,WP-CAB-5171,TVS King,Green,ACTIVE,WP,Western Province,COL,Colombo,MNTL,Mount Lavinia Police Station,Dilshan Dissanayake,B7000170,SIM-TD-171,ACTIVE
REG-2026-000172,WP-CAB-5172,Bajaj RE,White,ACTIVE,WP,Western Province,GAM,Gampaha,NEG,Negombo Police Station,Hasitha Dissanayake,B7000171,SIM-TD-172,ACTIVE
REG-2026-000173,WP-CAB-5173,Piaggio Ape,White,ACTIVE,WP,Western Province,GAM,Gampaha,KEL,Kelaniya Police Station,Kushan Dissanayake,B7000172,SIM-TD-173,ACTIVE
REG-2026-000174,WP-CAB-5174,TVS King,White,ACTIVE,WP,Western Province,KAL,Kalutara,PAN,Panadura Police Station,Madushan Dissanayake,B7000173,SIM-TD-174,ACTIVE
REG-2026-000175,CP-CAB-5175,Bajaj RE,Black,ACTIVE,CP,Central Province,KAN,Kandy,KDY,Kandy HQ Police Station,Nadeera Dissanayake,B7000174,SIM-TD-175,ACTIVE
REG-2026-000176,CP-CAB-5176,Piaggio Ape,White,ACTIVE,CP,Central Province,KAN,Kandy,PER,Peradeniya Police Station,Kasun Gunasekara,B7000175,SIM-TD-176,ACTIVE
REG-2026-000177,CP-CAB-5177,TVS King,Yellow,ACTIVE,CP,Central Province,NUW,Nuwara Eliya,NUWPS,Nuwara Eliya Police Station,Nimal Gunasekara,B7000176,SIM-TD-177,ACTIVE
REG-2026-000178,SP-CAB-5178,Bajaj RE,Silver,ACTIVE,SP,Southern Province,GAL,Galle,GALP,Galle Police Station,Amila Gunasekara,B7000177,SIM-TD-178,ACTIVE
REG-2026-000179,SP-CAB-5179,Piaggio Ape,Black,ACTIVE,SP,Southern Province,MATR,Matara,MATP,Matara Police Station,Sajith Gunasekara,B7000178,SIM-TD-179,ACTIVE
REG-2026-000180,SP-CAB-5180,TVS King,Red,ACTIVE,SP,Southern Province,HAM,Hambantota,HAMB,Hambantota Police Station,Pradeep Gunasekara,B7000179,SIM-TD-180,ACTIVE
REG-2026-000181,NP-CAB-5181,Bajaj RE,Green,ACTIVE,NP,Northern Province,JAF,Jaffna,JAFP,Jaffna Police Station,Hirusha Gunasekara,B7000180,SIM-TD-181,ACTIVE
REG-2026-000182,EP-CAB-5182,Piaggio Ape,Yellow,ACTIVE,EP,Eastern Province,TRI,Trincomalee,TRIP,Trincomalee Police Station,Janaka Gunasekara,B7000181,SIM-TD-182,ACTIVE
REG-2026-000183,EP-CAB-5183,TVS King,White,ACTIVE,EP,Eastern Province,BAT,Batticaloa,BATP,Batticaloa Police Station,Rashan Gunasekara,B7000182,SIM-TD-183,ACTIVE
REG-2026-000184,EP-CAB-5184,Bajaj RE,Yellow,ACTIVE,EP,Eastern Province,AMP,Ampara,AMPP,Ampara Police Station,Dilan Gunasekara,B7000183,SIM-TD-184,ACTIVE
REG-2026-000185,NWP-CAB-5185,Piaggio Ape,Blue,ACTIVE,NWP,North Western Province,KUR,Kurunegala,KURP,Kurunegala Police Station,Mahesh Gunasekara,B7000184,SIM-TD-185,ACTIVE
REG-2026-000186,NWP-CAB-5186,TVS King,Black,ACTIVE,NWP,North Western Province,PUT,Puttalam,PUTP,Puttalam Police Station,Ravindu Gunasekara,B7000185,SIM-TD-186,ACTIVE
REG-2026-000187,NCP-CAB-5187,Bajaj RE,Green,ACTIVE,NCP,North Central Province,ANU,Anuradhapura,ANUP,Anuradhapura Police Station,Tharindu Gunasekara,B7000186,SIM-TD-187,ACTIVE
REG-2026-000188,NCP-CAB-5188,Piaggio Ape,Black,ACTIVE,NCP,North Central Province,POL,Polonnaruwa,POLP,Polonnaruwa Police Station,Niroshan Gunasekara,B7000187,SIM-TD-188,ACTIVE
REG-2026-000189,UVA-CAB-5189,TVS King,Silver,ACTIVE,UVA,Uva Province,BAD,Badulla,BADP,Badulla Police Station,Ashan Gunasekara,B7000188,SIM-TD-189,ACTIVE
REG-2026-000190,UVA-CAB-5190,Bajaj RE,Blue,ACTIVE,UVA,Uva Province,MON,Monaragala,MONP,Monaragala Police Station,Chamath Gunasekara,B7000189,SIM-TD-190,ACTIVE
REG-2026-000191,SAB-CAB-5191,Piaggio Ape,Yellow,ACTIVE,SAB,Sabaragamuwa Province,RAT,Ratnapura,RATP,Ratnapura Police Station,Lahiru Gunasekara,B7000190,SIM-TD-191,ACTIVE
REG-2026-000192,SAB-CAB-5192,TVS King,Silver,ACTIVE,SAB,Sabaragamuwa Province,KEG,Kegalle,KEGP,Kegalle Police Station,Udesh Gunasekara,B7000191,SIM-TD-192,ACTIVE
REG-2026-000193,WP-CAB-5193,Bajaj RE,White,ACTIVE,WP,Western Province,COL,Colombo,FORT,Fort Police Station,Roshan Gunasekara,B7000192,SIM-TD-193,ACTIVE
REG-2026-000194,WP-CAB-5194,Piaggio Ape,Silver,ACTIVE,WP,Western Province,COL,Colombo,PET,Pettah Police Station,Sampath Gunasekara,B7000193,SIM-TD-194,ACTIVE
REG-2026-000195,WP-CAB-5195,TVS King,Black,ACTIVE,WP,Western Province,COL,Colombo,MNTL,Mount Lavinia Police Station,Yomal Gunasekara,B7000194,SIM-TD-195,ACTIVE
REG-2026-000196,WP-CAB-5196,Bajaj RE,Red,ACTIVE,WP,Western Province,GAM,Gampaha,NEG,Negombo Police Station,Dilshan Gunasekara,B7000195,SIM-TD-196,ACTIVE
REG-2026-000197,WP-CAB-5197,Piaggio Ape,Blue,ACTIVE,WP,Western Province,GAM,Gampaha,KEL,Kelaniya Police Station,Hasitha Gunasekara,B7000196,SIM-TD-197,ACTIVE
REG-2026-000198,WP-CAB-5198,TVS King,Silver,ACTIVE,WP,Western Province,KAL,Kalutara,PAN,Panadura Police Station,Kushan Gunasekara,B7000197,SIM-TD-198,ACTIVE
REG-2026-000199,CP-CAB-5199,Bajaj RE,Yellow,ACTIVE,CP,Central Province,KAN,Kandy,KDY,Kandy HQ Police Station,Madushan Gunasekara,B7000198,SIM-TD-199,ACTIVE
REG-2026-000200,CP-CAB-5200,Piaggio Ape,Silver,ACTIVE,CP,Central Province,KAN,Kandy,PER,Peradeniya Police Station,Nadeera Gunasekara,B7000199,SIM-TD-200,ACTIVE
